74,87
64,49
57,73
60,43
89,78
36,71
47,25
50,91
94,46
53,95
15,49
72,96
11,60
100,29
93,27
99,24
25,87
52,57
32,62
16,3
90,27
75,64
52,81
7,81
89,95
28,71
18,5
64,80
66,4
83,7
91,43
1,61
10,32
1,21
69,68
22,35
72,64
50,68
48,6
87,88
4,8
64,58
66,11
52,23
20,21
73,5
4,21
54,12
24,59
66,94
62,93
39,67
56,90
13,20
59,2
27,4
10,35
87,70
18,3
34,66
34,98
84,42
33,3
73,58
52,21
20,38
15,82
68,60
64,41
38,5
7,84
70,32
41,84
16,37
30,55
6,59
96,78
64,79
46,73
5,79
43,6
34,17
79,70
90,79
2,36
26,60
89,76
26,98
3,31
79,63
78,2
30,17
67,96
27,94
18,22
11,41
40,41
86,90
77,100
84,96
